QTD;UNIDADE;VAGAS;CNPJ;APP Omie;SUPERVISOR;ADMINISTRADORA;ENDEREÇO;BAIRRO;REGIÃO;CIDADE;ESTADO;;SISTEMA;PREVISÃO;SERVIÇOS;;;;;;OPERAÇÃO;SERVIDORES;INTERNET;ACESSO REMOTO;PARKAWARE;STATUS;Ult_DT;INTERNET
65;PATO BRANCO;1000;45.037.347/0015-42;CORP - Filial;MAYARA;AD SHOPPING;Rua Abel Bortot, 1450 - São Luiz, Pato Branco - PR;Fora SP;Fora do Estado SP;Pato Branco;PR;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;WPS PAY FULL;x;x;;;;;Pendente;Projetos pendentes de aprovação;;fixa
66;PAULISTA STAR;290;16.870.311/0036-71;PCO - Filial;CLAUDIO;HERSIL;RUA DOS BATATAES, 480;Paulista;Paulista;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;Automatizado;1º Subsolo;;;Pendente;Projetos pendentes de aprovação;;fixa
67;PEDROSO GOLDEN;48;45.037.347/0006-51;CORP - Filial;GUILHERME;;Rua Pedroso Alvarenga, 1038 - São Paulo;Itaim Bibi;Sul;São Paulo;SP;;VALETI;;;;;;;;;;;;Implantada;;;4G
68;PEQUETITA I ;70;16.870.311/0064-25;PCO - Filial;LUIZ CARLOS;ABITAZONE;Rua Pequetita, 179 - Vila Olímpia, São Paulo - SP;Vila Olimpia;Sul;São Paulo;SP;;VALETI;;;;;;;;Informatizado;1º Subsolo;;;Implantada;;;4G
69;PINHEIROS CORPORATE ;100;45.037.347/0001-47;CORP - Matriz;ANDRÉ MOURA;BARZEL;Rua Henrique Schaumann, 270 - Jardim Paulista, São Paulo - SP;Pinheiros;Oeste;São Paulo;SP;;;;;;;;;;;;;;;;;fixa
70;PINHEIROS ONE;900;45.037.347/0014-61;CORP - Filial;ANDRÉ MOURA;BARZEL;Rua Lemos Monteiro, 120 – São Paulo;Pinheiros;Oeste;São Paulo;SP;;WPS;;x;x;x;WPS PAY FULL;x;x;;;;;Implantada;Aguardando conclusão PARKAWARE;;fixa
71;PJM;240;16.870.311/0001-41;PCO - Matriz;EDMILSON;HERSIL;Alameda Santos, 1978 - Jardim Paulista, São Paulo - SP;Paulista;Paulista;São Paulo;SP;;KAPATRON;;;;;;;;;;;;Implantada;;;4G
72;PLAZA I;98;16.870.311/0018-90;PCO - Filial;JOSÉ PAULO;HERSIL;Rua James Joule, 92 - Cidade Monções, São Paulo - SP;Berrini;Sul;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;Automatizado;Térreo;;;Implantada;;;4G
73;PORTO BRASILIS;105;16.870.311/0083-98;PCO - Filial;ELTON;GMP;Rua São Bento, 29 - Centro, Rio de Janeiro - RJ e Rua Do Acre 15;RJ;RJ;São Paulo;RJ;;EMBRATEC;;;;;;;;;;;;Pendente;Projetos pendentes de aprovação;;Não possui 
74;RIVERSIDE;95;16.870.311/0006-56;PCO - Filial;JOSÉ PAULO;HERSIL;Rua Hungria, 1240 - Jardim Europa, São Paulo - SP;Faria Lima;Faria Lima;São Paulo;SP;;KAPATRON;;;;;;;;Automatizado;Térreo;;;Implantada;aprovado;;4G
75;ROQUE PETRONI;245;16.870.311/0060-00;PCO - Filial;JOSÉ PAULO;HERSIL;Avenida Roque Petroni Júnior, 850 - Vila Gertrudes, São Paulo - SP;Berrini;Berrini;São Paulo;SP;;WPS;;ENTERPRISE RELATORIO AUTOMATIZADO;x;x;x;x;x;Informatizado;Em Implantação;;;Implantada;;;fixa
